32,8
63,7
68,8
69,8
90,8
174,6
900,7
930,1
931,1
938,9
986,8
990,6
991,8
994,8
998,8
1111,8
9037,2
9046,5
9108,5
9115,8
9614,7
9667,1
9668,1
9669,1
9670,1
9671,1
9675,1
9677,1
9740,8
9741,8
9742,5
9748,5
9752,8
9765,2
9801,1
9802,1
9803,1
9804,1
9805,1
9806,1
9807,1
9808,1
9809,1
9810,1
9811,1
9812,1
9813,1
9814,1
9815,1
9816,1
9827,1
9832,1
9837,1
9841,2
9846,5
9848,1
9855,1
9870,1
9871,1
9872,1
9873,1
9874,5
9880,5
9884,3
9885,3
9886,3
9887,4
9889,4
9890,5
9896,3
9898,3
9930,1
9931,1
9934,1
9936,1
9937,1
9938,1
9939,1
9940,1
9941,1
9942,1
9943,1
9944,1
9945,1
9946,1
9949,1
9950,1
9951,1
9952,1
9953,1
