37,5,12/31/2199,F
37,6,12/31/2199,D
37,7,12/31/2199,C
37,8,12/31/2199,D
37,9,12/31/2199,G
37,11,12/31/2199,B
37,12,12/31/2199,D
37,13,12/31/2199,C
37,15,12/31/2199,E
37,16,12/31/2199,C
37,25,12/31/2199,G
37,28,12/31/2199,F
37,34,12/31/2199,C
37,36,12/31/2199,C
37,50,12/31/2199,F
37,51,12/31/2199,F
37,55,12/31/2199,F
37,59,12/31/2199,E
37,66,12/31/2199,C
37,67,12/31/2199,C
37,83,12/31/2199,C
37,101,12/31/2199,E
37,103,12/31/2199,C
37,104,12/31/2199,B
37,105,12/31/2199,D
37,106,12/31/2199,C
37,107,12/31/2199,B
37,108,12/31/2199,C
37,109,12/31/2199,C
37,110,12/31/2199,B
37,111,12/31/2199,C
37,112,12/31/2199,C
37,113,12/31/2199,C
37,114,12/31/2199,E
37,115,12/31/2199,D
37,119,12/31/2199,C
37,130,12/31/2199,E
37,132,12/31/2199,C
37,133,12/31/2199,0
37,134,12/31/2199,C
37,135,12/31/2199,C
37,136,12/31/2199,C
37,139,12/31/2199,C
37,141,12/31/2199,B
37,142,12/31/2199,C
37,152,12/31/2199,G
37,161,12/31/2199,C
37,162,12/31/2199,E
37,163,12/31/2199,C
37,164,12/31/2199,G
37,165,12/31/2199,B
37,166,12/31/2199,C
37,170,12/31/2199,C
37,176,12/31/2199,C
37,185,12/31/2199,B
37,187,12/31/2199,B
37,189,12/31/2199,C
37,191,12/31/2199,C
37,201,12/31/2199,D
37,204,12/31/2199,B
37,205,12/31/2199,B
37,221,12/31/2199,C
37,222,12/31/2199,C
37,225,12/31/2199,C
37,227,12/31/2199,C
37,255,12/31/2199,E
37,257,12/31/2199,C
37,261,12/31/2199,C
37,263,12/31/2199,C
37,265,12/31/2199,C
37,275,12/31/2199,C
37,276,12/31/2199,C
37,281,12/31/2199,B
37,282,12/31/2199,D
37,285,12/31/2199,B
37,291,12/31/2199,E
37,297,12/31/2199,B
37,301,12/31/2199,F
37,305,12/31/2199,D
37,306,12/31/2199,B
37,311,12/31/2199,C
37,319,12/31/2199,A
37,323,12/31/2199,C
37,327,12/31/2199,C
37,402,12/31/2199,E
37,403,12/31/2199,C
37,404,12/31/2199,E
37,406,12/31/2199,E
37,407,12/31/2199,C
37,411,12/31/2199,E
37,413,12/31/2199,E
37,415,12/31/2199,E
37,416,12/31/2199,C
37,421,12/31/2199,E
37,425,12/31/2199,E
37,427,12/31/2199,E
37,429,12/31/2199,D
37,431,12/31/2199,C
37,433,12/31/2199,C
37,435,12/31/2199,C
37,441,12/31/2199,C
37,445,12/31/2199,C
37,446,12/31/2199,B
37,447,12/31/2199,E
37,449,12/31/2199,D
37,451,12/31/2199,D
37,454,12/31/2199,C
37,456,12/31/2199,D
37,457,12/31/2199,C
37,458,12/31/2199,B
37,459,12/31/2199,C
37,461,12/31/2199,D
37,463,12/31/2199,D
37,465,12/31/2199,D
37,467,12/31/2199,B
37,471,12/31/2199,B
37,472,12/31/2199,B
37,473,12/31/2199,B
37,474,12/31/2199,C
37,475,12/31/2199,D
37,476,12/31/2199,C
37,477,12/31/2199,C
37,483,12/31/2199,B
37,485,12/31/2199,B
37,486,12/31/2199,C
37,487,12/31/2199,C
37,488,12/31/2199,B
37,489,12/31/2199,B
37,491,12/31/2199,C
37,493,12/31/2199,C
37,495,12/31/2199,D
37,497,12/31/2199,B
37,499,12/31/2199,D
37,501,12/31/2199,E
37,502,12/31/2199,A
37,506,12/31/2199,C
37,507,12/31/2199,F
37,509,12/31/2199,G
37,511,12/31/2199,E
37,512,12/31/2199,E
37,513,12/31/2199,B
37,514,12/31/2199,E
37,535,12/31/2199,C
37,536,12/31/2199,C
37,544,12/31/2199,E
37,551,12/31/2199,F
37,553,12/31/2199,G
37,555,12/31/2199,B
37,563,12/31/2199,C
37,571,12/31/2199,C
37,573,12/31/2199,F
37,581,12/31/2199,E
37,587,12/31/2199,C
37,601,12/31/2199,G
37,602,12/31/2199,F
37,603,12/31/2199,F
37,605,12/31/2199,E
37,606,12/31/2199,G
37,607,12/31/2199,F
37,608,12/31/2199,F
37,609,12/31/2199,F
37,611,12/31/2199,E
37,615,12/31/2199,G
37,617,12/31/2199,F
37,645,12/31/2199,F
37,646,12/31/2199,E
37,647,12/31/2199,D
37,648,12/31/2199,E
37,649,12/31/2199,E
37,651,12/31/2199,F
37,652,12/31/2199,F
37,653,12/31/2199,F
37,654,12/31/2199,F
37,655,12/31/2199,G
37,656,12/31/2199,G
37,657,12/31/2199,F
37,658,12/31/2199,F
37,659,12/31/2199,G
37,660,12/31/2199,E
37,661,12/31/2199,E
37,662,12/31/2199,E
37,663,12/31/2199,E
37,664,12/31/2199,E
37,665,12/31/2199,F
37,666,12/31/2199,E
37,667,12/31/2199,F
37,668,12/31/2199,E
37,669,12/31/2199,F
37,670,12/31/2199,E
37,673,12/31/2199,F
37,674,12/31/2199,E
37,675,12/31/2199,F
37,676,12/31/2199,E
37,677,12/31/2199,G
37,679,12/31/2199,F
37,681,12/31/2199,F
37,682,12/31/2199,E
37,691,12/31/2199,F
37,693,12/31/2199,F
37,695,12/31/2199,E
37,709,12/31/2199,G
37,716,12/31/2199,E
37,718,12/31/2199,E
37,721,12/31/2199,F
37,744,12/31/2199,D
37,751,12/31/2199,E
